SAMPLE_ID	BODY_SITE	ANALYTE_TYPE	IS_TUMOR	CELL_TYPE
NYUMD0004-01	blood	DNA/RNA	N	monocytes
NYUMD0006-01	blood	DNA/RNA	N	monocytes
NYUMD0008-01	blood	DNA/RNA	N	monocytes
NYUMD0009-01	blood	DNA/RNA	N	monocytes
NYUMD0010-01	blood	DNA/RNA	N	monocytes
NYUMD0016-01	blood	DNA/RNA	N	monocytes
NYUMD0017-01	blood	DNA/RNA	N	monocytes
NYUMD0019-01	blood	DNA/RNA	N	monocytes
NYUMD0021-01	blood	DNA/RNA	N	monocytes
NYUMD0024-01	blood	DNA/RNA	N	monocytes
NYUMD0026-01	blood	DNA/RNA	N	monocytes
NYUMD0027-01	blood	DNA/RNA	N	monocytes
NYUMD0030-01	blood	DNA/RNA	N	monocytes
NYUMD0031-01	blood	DNA/RNA	N	monocytes
NYUMD0040-01	blood	DNA/RNA	N	monocytes
NYUMD0041-01	blood	DNA/RNA	N	monocytes
NYUMD0042-01	blood	DNA/RNA	N	monocytes
NYUMD0043-01	blood	DNA/RNA	N	monocytes
NYUMD0046-01	blood	DNA/RNA	N	monocytes
NYUMD0047-01	blood	DNA/RNA	N	monocytes
NYUMD0049-01	blood	DNA/RNA	N	monocytes
NYUMD0050-01	blood	DNA/RNA	N	monocytes
NYUMD0051-01	blood	DNA/RNA	N	monocytes
NYUMD0053-01	blood	DNA/RNA	N	monocytes
NYUMD0058-01	blood	DNA/RNA	N	monocytes
NYUMD0062-01	blood	DNA/RNA	N	monocytes
NYUMD0063-01	blood	DNA/RNA	N	monocytes
NYUMD0064-01	blood	DNA/RNA	N	monocytes
NYUMD0065-01	blood	DNA/RNA	N	monocytes
NYUMD0067-01	blood	RNA	N	monocytes
NYUMD0070-01	blood	DNA/RNA	N	monocytes
NYUMD0071-01	blood	DNA/RNA	N	monocytes
NYUMD0072-01	blood	DNA/RNA	N	monocytes
NYUMD0075-01	blood	DNA/RNA	N	monocytes
NYUMD0076-01	blood	DNA/RNA	N	monocytes
NYUMD0079-01	blood	DNA/RNA	N	monocytes
NYUMD0081-01	blood	DNA/RNA	N	monocytes
NYUMD0083-01	blood	DNA/RNA	N	monocytes
NYUMD0089-01	blood	DNA/RNA	N	monocytes
NYUMD0097-01	blood	DNA/RNA	N	monocytes
NYUMD0101-01	blood	DNA/RNA	N	monocytes
NYUMD0103-01	blood	RNA	N	monocytes
NYUMD0111-Resub	blood	DNA/RNA	N	monocytes
13-066-CC	CC	RNA	N	microglia
13-095-CC	CC	RNA	N	microglia
14-005-CC	CC	RNA	N	microglia
14-005-GFM	GFM	RNA	N	microglia
14-005-GTS	GTS	RNA	N	microglia
14-015-CC	CC	RNA	N	microglia
14-015-GFM	GFM	RNA	N	microglia
14-015-GTS	GTS	RNA	N	microglia
14-029-CC	CC	RNA	N	microglia
14-029-GFM	GFM	RNA	N	microglia
14-029-GTS	GTS	RNA	N	microglia
14-051-CC	CC	RNA	N	microglia
14-051-GTS	GTS	RNA	N	microglia
14-053-CC	CC	RNA	N	microglia
14-055-CC	CC	RNA	N	microglia
14-063-CC	CC	RNA	N	microglia
14-069-CC	CC	RNA	N	microglia
14-069-GFM	GFM	RNA	N	microglia
14-069-GTS	GTS	RNA	N	microglia
14-074-CC	CC	RNA	N	microglia
14-075-CC	CC	RNA	N	microglia
14-075-GFM	GFM	RNA	N	microglia
14-075-GTS	GTS	RNA	N	microglia
14-078-CC	CC	RNA	N	microglia
14-078-GFM	GFM	RNA	N	microglia
15-018-GFM	GFM	RNA	N	microglia
15-018-GTS	GTS	RNA	N	microglia
15-024-GFM	GFM	RNA	N	microglia
15-024-THA	THA	RNA	N	microglia
15-027-GFM	GFM	RNA	N	microglia
15-034-GFM	GFM	RNA	N	microglia
15-041-THA	THA	RNA	N	microglia
15-055-GFM	GFM	RNA	N	microglia
15-055-GTS	GTS	RNA	N	microglia
15-074-THA	THA	RNA	N	microglia
15-087-GFM	GFM	RNA	N	microglia
15-087-GTS	GTS	RNA	N	microglia
15-087-THA	THA	RNA	N	microglia
15-089-GFM	GFM	RNA	N	microglia
15-089-GTS	GTS	RNA	N	microglia
15-089-THA	THA	RNA	N	microglia
15-097-GTS	GTS	RNA	N	microglia
15-110-GTS	GTS	RNA	N	microglia
16-016-GTS	GTS	RNA	N	microglia
16-016-THA	THA	RNA	N	microglia
16-027-GFM	GFM	RNA	N	microglia
16-027-GTS	GTS	RNA	N	microglia
16-038-GFM	GFM	RNA	N	microglia
16-046-GFM	GFM	RNA	N	microglia
16-046-GTS	GTS	RNA	N	microglia
16-046-THA	THA	RNA	N	microglia
16-056-GFM	GFM	RNA	N	microglia
16-056-THA	THA	RNA	N	microglia
16-067-GFM	GFM	RNA	N	microglia
16-067-GTS	GTS	RNA	N	microglia
16-067-THA	THA	RNA	N	microglia
16-078-GFM	GFM	RNA	N	microglia
16-078-GTS	GTS	RNA	N	microglia
16-078-THA	THA	RNA	N	microglia
16-080-GFM	GFM	RNA	N	microglia
16-080-GTS	GTS	RNA	N	microglia
16-080-SVZ	SVZ	RNA	N	microglia
16-080-THA	THA	RNA	N	microglia
16-082-SVZ	SVZ	RNA	N	microglia
16-102-GFM	GFM	RNA	N	microglia
16-116-GFM	GFM	RNA	N	microglia
16-116-GTS	GTS	RNA	N	microglia
16-137-GFM	GFM	RNA	N	microglia
16-137-GTS	GTS	RNA	N	microglia
16-137-SVZ	SVZ	RNA	N	microglia
16-137-THA	THA	RNA	N	microglia
17-003-GFM	GFM	RNA	N	microglia
17-003-GTS	GTS	RNA	N	microglia
17-003-SVZ	SVZ	RNA	N	microglia
17-003-THA	THA	RNA	N	microglia
17-005-CER	CER	RNA	N	microglia
17-005-GFM	GFM	RNA	N	microglia
17-005-GTS	GTS	RNA	N	microglia
17-005-SVZ	SVZ	RNA	N	microglia
17-005-THA	THA	RNA	N	microglia
17-012-GFM	GFM	RNA	N	microglia
17-012-SVZ	SVZ	RNA	N	microglia
17-012-THA	THA	RNA	N	microglia
17-016-CER	CER	RNA	N	microglia
17-016-GFM	GFM	RNA	N	microglia
17-016-GTS	GTS	RNA	N	microglia
17-016-SVZ	SVZ	RNA	N	microglia
17-016-THA	THA	RNA	N	microglia
17-078-GFM	GFM	RNA	N	microglia
17-078-GTS	GTS	RNA	N	microglia
17-078-SVZ	SVZ	RNA	N	microglia
17-078-THA	THA	RNA	N	microglia
17-097-GFM	GFM	RNA	N	microglia
17-097-GTS	GTS	RNA	N	microglia
17-097-SVZ	SVZ	RNA	N	microglia
17-124-GFM	GFM	RNA	N	microglia
17-124-GTS	GTS	RNA	N	microglia
17-124-SVZ	SVZ	RNA	N	microglia
17-124-THA	THA	RNA	N	microglia
18-018-GFM	GFM	RNA	N	microglia
18-018-SVZ	SVZ	RNA	N	microglia
18-018-THA	THA	RNA	N	microglia
18-021-GFM	GFM	RNA	N	microglia
18-021-GTS	GTS	RNA	N	microglia
18-021-SVZ	SVZ	RNA	N	microglia
18-021-THA	THA	RNA	N	microglia
18-064-GFM	GFM	RNA	N	microglia
18-064-GTS	GTS	RNA	N	microglia
18-064-SVZ	SVZ	RNA	N	microglia
18-064-THA	THA	RNA	N	microglia
18-105-GFM	GFM	RNA	N	microglia
18-105-GTS	GTS	RNA	N	microglia
18-105-THA	THA	RNA	N	microglia
18-112-GFM	GFM	RNA	N	microglia
18-112-GTS	GTS	RNA	N	microglia
18-112-THA	THA	RNA	N	microglia
MG-01-SVZ	SVZ	RNA	N	microglia
MG-03-SVZ	SVZ	RNA	N	microglia
MG-04-GFM	GFM	RNA	N	microglia
MG-06-GFM	SVZ	RNA	N	microglia
MG-06-SVZ	GFM	RNA	N	microglia
MG-08-GFM	GFM	RNA	N	microglia
MG-08-SVZ	SVZ	RNA	N	microglia
MG-09-Cerebellum	CER	RNA	N	microglia
MG-09-GFM	GFM	RNA	N	microglia
MG-13-GFM	GFM	RNA	N	microglia
MG-13-SN	SN	RNA	N	microglia
MG-13-SVZ	SVZ	RNA	N	microglia
